dataset: ../../48_6_layer_sentences_balanced_newline.txt
seed: 2395333166
sequence_length: 6
sentence_length: 6
n_classes: 53
embedding_dim: 16
feedforward_dim: 64
n_blocks: 2
n_heads: 2
k_dim: 4
v_dim: 4
batch_size: 64
n_epochs: 5000
learning_rate: 0.001

epoch, train_loss, test_loss, n_in_sample, n_out_of_sample, n_invalid
0 4.274651527404785 4.335736274719238 0 0 10000
1 4.1965765953063965 4.278737545013428 0 0 0
2 4.123527526855469 4.224635124206543 0 0 0
3 4.055742263793945 4.173336029052734 0 0 0
4 3.9917211532592773 4.124273300170898 0 0 0
5 3.9309589862823486 4.076951026916504 0 0 0
6 3.873122215270996 4.030837059020996 0 0 0
7 3.817228317260742 3.9852683544158936 0 0 0
8 3.762589931488037 3.9400460720062256 0 0 0
9 3.7089385986328125 3.894998550415039 0 0 0
10 3.6558618545532227 3.8503336906433105 0 0 0
11 3.6038506031036377 3.8062257766723633 0 0 0
12 3.553138017654419 3.7627787590026855 0 0 0
13 3.5031352043151855 3.720123767852783 0 0 0
14 3.453787088394165 3.6785078048706055 0 0 0
15 3.4044878482818604 3.6377599239349365 0 0 0
16 3.3557677268981934 3.5979738235473633 0 0 0
17 3.307459592819214 3.5593786239624023 0 0 0
18 3.2599925994873047 3.5225181579589844 0 0 0
19 3.213550090789795 3.4874932765960693 0 0 0
20 3.1670894622802734 3.4538679122924805 0 0 0
21 3.120689630508423 3.4215755462646484 0 0 0
22 3.0741922855377197 3.3904683589935303 0 0 0
23 3.0277926921844482 3.360384941101074 0 0 0
24 2.9817841053009033 3.331240653991699 0 0 0
25 2.9359443187713623 3.3030714988708496 0 0 0
26 2.890733003616333 3.275972843170166 0 0 0
27 2.8460192680358887 3.2499217987060547 0 0 0
28 2.8015244007110596 3.2248334884643555 0 0 0
29 2.757429599761963 3.20068359375 0 0 0
30 2.7139697074890137 3.1773674488067627 0 0 0
31 2.6710124015808105 3.154834270477295 0 0 0
32 2.628415822982788 3.1329407691955566 0 0 0
33 2.586223840713501 3.1116902828216553 0 0 0
34 2.5442445278167725 3.091200590133667 0 0 0
35 2.502542734146118 3.0714240074157715 0 0 0
36 2.4611527919769287 3.0522403717041016 0 0 0
37 2.4200360774993896 3.0336461067199707 0 0 0
38 2.379096269607544 3.015700578689575 0 0 0
39 2.3385915756225586 2.9985806941986084 0 0 0
40 2.298818588256836 2.9824492931365967 0 0 0
41 2.258873462677002 2.9673404693603516 0 0 0
42 2.2193124294281006 2.953141927719116 0 0 0
43 2.180344581604004 2.939815044403076 0 0 0
44 2.141692876815796 2.9271597862243652 0 0 0
45 2.103511333465576 2.9151322841644287 0 0 0
46 2.0660436153411865 2.9036784172058105 0 0 0
47 2.0291566848754883 2.8926796913146973 0 0 0
48 1.9928598403930664 2.8821144104003906 0 0 0
49 1.9571855068206787 2.871908664703369 0 0 0
50 1.9219458103179932 2.862004280090332 0 0 0
51 1.887166142463684 2.8524317741394043 0 0 0
52 1.8529266119003296 2.8431997299194336 0 0 0
53 1.819246530532837 2.834278106689453 0 0 0
54 1.786030650138855 2.8256216049194336 0 0 0
55 1.7532479763031006 2.817033290863037 0 0 0
56 1.7208971977233887 2.80853271484375 0 0 0
57 1.6891242265701294 2.8002333641052246 0 0 0
58 1.6582634449005127 2.7923367023468018 0 0 0
59 1.6281193494796753 2.7850241661071777 0 0 0
60 1.5987812280654907 2.778292655944824 0 0 0
61 1.5703152418136597 2.772094964981079 0 0 0
62 1.5425233840942383 2.7662734985351562 0 0 0
63 1.5153638124465942 2.7605724334716797 0 0 0
64 1.4888365268707275 2.7549571990966797 0 0 0
65 1.4628404378890991 2.7495336532592773 0 0 0
66 1.4375416040420532 2.7444005012512207 0 0 0
67 1.4129266738891602 2.7394049167633057 0 0 0
68 1.3888945579528809 2.734661102294922 0 0 0
69 1.3653970956802368 2.730168342590332 0 0 0
70 1.3424497842788696 2.7257423400878906 0 0 0
71 1.3199917078018188 2.721376895904541 0 0 0
72 1.2980998754501343 2.7171950340270996 0 0 0
73 1.2767624855041504 2.7132585048675537 0 0 0
74 1.2559196949005127 2.7097690105438232 0 0 0
75 1.2354955673217773 2.70674991607666 0 0 0
76 1.2155213356018066 2.7040657997131348 0 0 0
77 1.1960052251815796 2.701690912246704 0 0 0
78 1.1769895553588867 2.6996748447418213 0 0 0
79 1.1583257913589478 2.698204755783081 0 0 0
80 1.1399624347686768 2.6973094940185547 0 0 0
81 1.1218327283859253 2.696899652481079 0 0 0
82 1.1039907932281494 2.696836471557617 0 0 0
83 1.0865192413330078 2.697011947631836 0 0 0
84 1.0694438219070435 2.6974005699157715 0 0 0
85 1.0526918172836304 2.6979880332946777 0 0 0
86 1.0362205505371094 2.698840379714966 0 0 0
87 1.0200345516204834 2.699860095977783 0 0 0
88 1.004169225692749 2.7009806632995605 0 0 0
89 0.9887766242027283 2.7021536827087402 0 0 0
90 0.9736108183860779 2.7035231590270996 0 0 0
91 0.9586775302886963 2.7049245834350586 0 0 0
92 0.9440039396286011 2.7066948413848877 0 0 0
93 0.929550290107727 2.7088675498962402 0 0 0
94 0.9152929782867432 2.711230516433716 0 0 0
95 0.901273250579834 2.713879346847534 0 0 0
96 0.8874762058258057 2.716768264770508 0 0 0
97 0.8738692402839661 2.7200942039489746 0 0 0
98 0.8604631423950195 2.7235140800476074 0 0 0
99 0.8472267985343933 2.7266616821289062 0 0 0
100 0.8342245817184448 2.7295994758605957 233 330 9437
101 0.8214399814605713 2.732672691345215 0 0 0
102 0.8087601065635681 2.736175060272217 0 0 0
103 0.7962502837181091 2.739675998687744 0 0 0
104 0.7839274406433105 2.742659568786621 0 0 0
105 0.7717549204826355 2.745283603668213 0 0 0
106 0.7597686052322388 2.748054265975952 0 0 0
107 0.7479764223098755 2.7513575553894043 0 0 0
108 0.7363619208335876 2.7552146911621094 0 0 0
109 0.7248931527137756 2.75930118560791 0 0 0
110 0.7135992646217346 2.7637529373168945 0 0 0
111 0.7025038599967957 2.768254280090332 0 0 0
112 0.6915459632873535 2.772658586502075 0 0 0
113 0.680784285068512 2.7769668102264404 0 0 0
114 0.6701930165290833 2.7811927795410156 0 0 0
115 0.6597405076026917 2.7859065532684326 0 0 0
116 0.6494724154472351 2.7908382415771484 0 0 0
117 0.6393395662307739 2.795912027359009 0 0 0
118 0.6294493079185486 2.800689458847046 0 0 0
119 0.6197410225868225 2.805168628692627 0 0 0
120 0.6102187037467957 2.8095333576202393 0 0 0
121 0.6008040308952332 2.8142433166503906 0 0 0
122 0.5916663408279419 2.8189921379089355 0 0 0
123 0.5826568007469177 2.8229503631591797 0 0 0
124 0.5738931894302368 2.8267626762390137 0 0 0
125 0.5652329325675964 2.831212282180786 0 0 0
126 0.556740403175354 2.836137294769287 0 0 0
127 0.5484035611152649 2.840974807739258 0 0 0
128 0.5403165221214294 2.8455638885498047 0 0 0
129 0.5323277115821838 2.849736213684082 0 0 0
130 0.5244573950767517 2.8537535667419434 0 0 0
131 0.5167807936668396 2.859070301055908 0 0 0
132 0.5092146396636963 2.865109920501709 0 0 0
133 0.5018055438995361 2.870098114013672 0 0 0
134 0.4945046603679657 2.8737192153930664 0 0 0
135 0.48734116554260254 2.877667188644409 0 0 0
136 0.48030683398246765 2.8821213245391846 0 0 0
137 0.473430335521698 2.8867831230163574 0 0 0
138 0.46668052673339844 2.8919992446899414 0 0 0
139 0.46005257964134216 2.897083044052124 0 0 0
140 0.45350608229637146 2.901235342025757 0 0 0
141 0.44708389043807983 2.9057183265686035 0 0 0
142 0.440752238035202 2.9111814498901367 0 0 0
143 0.434584379196167 2.9171667098999023 0 0 0
144 0.4285009205341339 2.9221510887145996 0 0 0
145 0.42250674962997437 2.926316499710083 0 0 0
146 0.4166673421859741 2.9304773807525635 0 0 0
147 0.41093888878822327 2.934621810913086 0 0 0
148 0.4052843749523163 2.9394192695617676 0 0 0
149 0.3998047709465027 2.9444665908813477 0 0 0
150 0.394364595413208 2.9491183757781982 0 0 0
151 0.38904985785484314 2.953751802444458 0 0 0
152 0.3838404417037964 2.9579415321350098 0 0 0
153 0.37870195508003235 2.962486982345581 0 0 0
154 0.3736739754676819 2.9680662155151367 0 0 0
155 0.36873194575309753 2.9730982780456543 0 0 0
156 0.36384549736976624 2.9769909381866455 0 0 0
157 0.35901597142219543 2.981313705444336 0 0 0
158 0.3542915880680084 2.9855527877807617 0 0 0
159 0.34960854053497314 2.9900097846984863 0 0 0
160 0.3451036512851715 2.994495391845703 0 0 0
161 0.3406103849411011 2.999194860458374 0 0 0
162 0.3361882269382477 3.00374174118042 0 0 0
163 0.33190611004829407 3.0084285736083984 0 0 0
164 0.327623188495636 3.013486862182617 0 0 0
165 0.3235035836696625 3.0182976722717285 0 0 0
166 0.31937554478645325 3.023527145385742 0 0 0
167 0.31541869044303894 3.028507709503174 0 0 0
168 0.3114570677280426 3.033356189727783 0 0 0
169 0.3076182007789612 3.038207530975342 0 0 0
170 0.30387017130851746 3.0427935123443604 0 0 0
171 0.30006301403045654 3.048086643218994 0 0 0
172 0.2964394688606262 3.053001880645752 0 0 0
173 0.2928702235221863 3.0575294494628906 0 0 0
